categoria,archivo_local,url_origen,numero,fecha_descarga,fecha_documento,tamano_bytes,num_paginas,titulo_extraido,relevancia_mulc,keywords_encontradas,tiene_version_tachado_negrita
comunicacion_A,data/raw/02_comunicaciones_A/A8130_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8130.pdf,A8130,2026-05-07T19:18:32+00:00,2024-11-08,552140,21,"""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,operaciones cambiarias,
comunicacion_A,data/raw/02_comunicaciones_A/A8131_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8131.pdf,A8131,2026-05-07T19:18:34+00:00,2024-11-12,1434539,71,"""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,operadores de cambio; casas de cambio; exportaciones de bienes + liquidacion,
comunicacion_A,data/raw/02_comunicaciones_A/A8133_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8133.pdf,A8133,2026-05-07T19:18:36+00:00,2024-11-21,105665,2,".  ""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""     ""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,exterior y cambios; casas de cambio; importaciones de bienes + pago,
comunicacion_A,data/raw/02_comunicaciones_A/A8137_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8137.pdf,A8137,2026-05-07T19:18:53+00:00,2024-11-28,107263,2,".  ""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""     ""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,exterior y cambios; mercado de cambios; exportaciones de bienes + liquidacion,
comunicacion_A,data/raw/02_comunicaciones_A/A8140_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8140.pdf,A8140,2026-05-07T19:19:05+00:00,2024-12-02,166811,10,"""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8145_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8145.pdf,A8145,2026-05-07T19:19:44+00:00,2024-12-09,335919,19,"""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8149_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8149.pdf,A8149,2026-05-07T19:20:00+00:00,2024-12-11,368494,24,"""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,exterior y cambios; mercado de cambios; operadores de cambio; boleto de cambio; exportaciones de bienes + liquidacion; importaciones de bienes + pago,
comunicacion_A,data/raw/02_comunicaciones_A/A8150_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8150.pdf,A8150,2026-05-07T19:20:01+00:00,2024-12-11,299726,13,"""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,mercado de cambios; operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8153_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8153.pdf,A8153,2026-05-07T19:20:10+00:00,2024-12-12,82217,1,".  ""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""     ""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,exterior y cambios; casas de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8155_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8155.pdf,A8155,2026-05-07T19:20:13+00:00,2024-12-13,85380,1,".  ""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""     ""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,exterior y cambios; operadores de cambio; secoexpo,
comunicacion_A,data/raw/02_comunicaciones_A/A8158_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8158.pdf,A8158,2026-05-07T19:20:22+00:00,2024-12-18,122541,3,"""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,operadores de cambio; secoexpo,
comunicacion_A,data/raw/02_comunicaciones_A/A8160_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8160.pdf,A8160,2026-05-07T19:20:29+00:00,2024-12-19,83074,1,".  ""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""     ""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,exterior y cambios; mercado de cambios; casas de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8161_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8161.pdf,A8161,2026-05-07T19:20:30+00:00,2024-12-19,84510,1,".  ""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""     ""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,exterior y cambios; mercado de cambios; casas de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8169_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8169.pdf,A8169,2026-05-07T19:21:01+00:00,2024-12-23,109802,2,"""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8170_ano_de_la_defensa_de_la_vida_l.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8170.pdf,A8170,2026-05-07T19:21:03+00:00,2024-12-23,125278,3,"""AÑO DE LA DEFENSA DE LA VIDA, LA LIBERTAD Y LA PROPIEDAD""",true,operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8173_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8173.pdf,A8173,2026-05-07T19:21:13+00:00,2025-01-08,129014,4,“Año de la Reconstrucción de la Nación Argentina”,true,operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8178_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8178.pdf,A8178,2026-05-07T19:21:32+00:00,2025-01-16,82696,1,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; casas de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8182_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8182.pdf,A8182,2026-05-07T19:21:43+00:00,2025-01-21,108100,2,“Año de la Reconstrucción de la Nación Argentina”,true,operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8184_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8184.pdf,A8184,2026-05-07T19:21:52+00:00,2025-01-27,241491,13,“Año de la Reconstrucción de la Nación Argentina”,true,mercado de cambios; operadores de cambio; posicion general de cambios; boleto de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8185_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8185.pdf,A8185,2026-05-07T19:21:55+00:00,2025-01-27,373074,17,“Año de la Reconstrucción de la Nación Argentina”,true,mercado de cambios; operadores de cambio; importaciones de bienes + pago,
comunicacion_A,data/raw/02_comunicaciones_A/A8191_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8191.pdf,A8191,2026-05-07T19:22:18+00:00,2025-02-10,1146454,138,“Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; mercado de cambios; operaciones cambiarias; operadores de cambio; ingreso de divisas; decreto 260/02; decreto 609/19; sepaimpo; secoexpo; posicion general de cambios; boleto de cambio; bopreal; exportaciones de bienes + liquidacion; importaciones de bienes + pago,
comunicacion_A,data/raw/02_comunicaciones_A/A8203_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8203.pdf,A8203,2026-05-07T19:23:07+00:00,2025-02-26,301937,17,“Año de la Reconstrucción de la Nación Argentina”,true,operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8212_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8212.pdf,A8212,2026-05-07T19:23:47+00:00,2025-03-11,87131,1,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,casas de cambio; posicion general de cambios,
comunicacion_A,data/raw/02_comunicaciones_A/A8219_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8219.pdf,A8219,2026-05-07T19:24:22+00:00,2025-03-20,159265,5,“Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8226_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8226.pdf,A8226,2026-05-07T19:24:50+00:00,2025-04-11,112462,3,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; mercado de cambios; operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8227_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8227.pdf,A8227,2026-05-07T19:24:52+00:00,2025-04-14,84420,1,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; casas de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8230_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8230.pdf,A8230,2026-05-07T19:24:59+00:00,2025-04-16,104858,2,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; mercado de cambios; casas de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8233_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8233.pdf,A8233,2026-05-07T19:25:09+00:00,2025-04-30,108099,2,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,bopreal; importaciones de bienes + pago,
comunicacion_A,data/raw/02_comunicaciones_A/A8234_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8234.pdf,A8234,2026-05-07T19:25:10+00:00,2025-04-30,106237,2,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; mercado de cambios; casas de cambio; bopreal; importaciones de bienes + pago,
comunicacion_A,data/raw/02_comunicaciones_A/A8235_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8235.pdf,A8235,2026-05-07T19:25:13+00:00,2025-04-30,176390,6,“Año de la Reconstrucción de la Nación Argentina”,true,bopreal,
comunicacion_A,data/raw/02_comunicaciones_A/A8238_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8238.pdf,A8238,2026-05-07T19:25:25+00:00,2025-05-07,217345,10,“Año de la Reconstrucción de la Nación Argentina”,true,operadores de cambio; bopreal; importaciones de bienes + pago,
comunicacion_A,data/raw/02_comunicaciones_A/A8239_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8239.pdf,A8239,2026-05-07T19:25:27+00:00,2025-05-07,279318,8,“Año de la Reconstrucción de la Nación Argentina”,true,operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8240_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8240.pdf,A8240,2026-05-07T19:25:27+00:00,2025-05-08,130783,3,“Año de la Reconstrucción de la Nación Argentina”,true,mercado de cambios,
comunicacion_A,data/raw/02_comunicaciones_A/A8244_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8244.pdf,A8244,2026-05-07T19:25:39+00:00,2025-05-15,83273,1,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; mercado de cambios; casas de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8245_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8245.pdf,A8245,2026-05-07T19:25:41+00:00,2025-05-22,84214,1,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,exterior y cambios; mercado de cambios; casas de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8248_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8248.pdf,A8248,2026-05-07T19:25:51+00:00,2025-06-02,303967,25,“Año de la Reconstrucción de la Nación Argentina”,true,operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8251_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8251.pdf,A8251,2026-05-07T19:26:01+00:00,2025-06-04,84514,1,. “Año de la Reconstrucción de la Nación Argentina”  “Año de la Reconstrucción de la Nación Argentina”,true,casas de cambio; posicion general de cambios,
comunicacion_A,data/raw/02_comunicaciones_A/A8254_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8254.pdf,A8254,2026-05-07T19:26:13+00:00,2025-06-06,203392,5,“Año de la Reconstrucción de la Nación Argentina”,true,operadores de cambio,
comunicacion_A,data/raw/02_comunicaciones_A/A8255_ano_de_la_reconstruccion_de_la.pdf,https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A8255.pdf,A8255,2026-05-07T19:26:14+00:00,2025-06-06,137895,5,“Año de la Reconstrucción de la Nación Argentina”,true,operadores de cambio,
