id,categoria,titulo_oficial,archivo_oficial,url_pdf
fabcra,normativa_general,Firmas Autorizadas ante el BCRA,t-fabcra.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-fabcra.pdf
fgarcp,normativa_general,Fondos de garantía de carácter público,t-fgarcp.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-fgarcp.pdf
garant,normativa_general,Garantías,t-garant.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-garant.pdf
garopt,normativa_general,Garantías por intermediación en operaciones entre terceros,t-garopt.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-garopt.pdf
gescre,normativa_general,Gestión crediticia,t-gescre.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-gescre.pdf
graloc,normativa_general,Gestión de riesgos asociados a la liquidación de operaciones de cambio,t-graloc.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-graloc.pdf
gracre,normativa_general,Graduación del crédito,t-gracre.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-gracre.pdf
gerc,normativa_general,Grandes exposiciones al riesgo de crédito.,t-gerc.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-gerc.pdf
horari,normativa_general,Horario de las entidades financieras,t-horari.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-horari.pdf
incuca,normativa_general,Incumplimientos de capitales mínimos y relaciones técnicas. Criterios aplicables,t-incuca.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-incuca.pdf
consyr,normativa_general,"Instrumentación, conservación y reproducción de documentos",t-consyr.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-consyr.pdf
fimipyme,normativa_general,Linea de financiamiento para la inversion productiva de MiPyME,t-fimipyme.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-fimipyme.pdf
lingob,normativa_general,Lineamientos para el gobierno societario en entidades financieras.,t-lingob.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-lingob.pdf
lingeef,normativa_general,Lineamientos para la gestión de riesgos en las entidades financieras,t-lingeef.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-lingeef.pdf
rrci,normativa_general,Lineamientos para la respuesta y recuperación ante ciberincidentes (RRCI),t-rrci.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-rrci.pdf
manori,normativa_general,Manuales de originación y administración de préstamos,t-manori.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-manori.pdf
seguef,normativa_general,Medidas mínimas de seguridad en entidades financieras,t-seguef.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-seguef.pdf
ri2_ae,normativa_general,Normas mínimas sobre auditorías externas para casas y agencias de cambio.,t-RI2-AE.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI2-AE.pdf
nmaeef,normativa_general,Normas mínimas sobre auditorías externas para entidades financieras,t-nmaeef.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-nmaeef.pdf
ri2_ci,normativa_general,Normas mínimas sobre controles internos para casas y agencias de cambio,t-RI2-CI.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI2-CI.pdf
nmcief,normativa_general,Normas mínimas sobre controles internos para entidades financieras,t-nmcief.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-nmcief.pdf
opefci,normativa_general,"Operaciones al contado a liquidar y a término, pases, cauciones, otros derivados y con fondos comunes de inversión.",t-opefci.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-opefci.pdf
opecam,normativa_general,Operadores de cambio.,t-opecam.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-opecam.pdf
ordcom,normativa_general,"Ordenamiento, emisión y  divulgación de Comunicaciones y Comunicados de Prensa",t-ordcom.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-ordcom.pdf
osapsa,normativa_general,Otros servicios y actividades prestados por sujetos alcanzados,t-osapsa.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-osapsa.pdf
pagjub,normativa_general,Pago de beneficios de la seg. soc. por cuenta de la Adm. Nacional de la Seguridad Social (ANSES),t-pagjub.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-pagjub.pdf
retype,normativa_general,Pago de retiros y pensiones militares,t-retype.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-retype.pdf
pfmipyme,normativa_general,Plataformas para el financiamiento MiPyME,t-pfmipyme.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-pfmipyme.pdf
polcre,normativa_general,Política de crédito,t-polcre.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-polcre.pdf
pognme,normativa_general,Posición global neta de moneda extranjera.,t-pognme.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-pognme.pdf
optico,normativa_general,Presentación de informaciones al BCRA,t-optico.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-optico.pdf
lavdin,normativa_general,"Prevención del lavado de activos, del financiamiento del terrorismo y otras actividades ilícitas",t-lavdin.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-lavdin.pdf
prevmi,normativa_general,Previsiones mínimas por riesgo de incobrabilidad,t-prevmi.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-prevmi.pdf
pimf,normativa_general,Principios para las infraestructuras del mercado financiero.,t-pimf.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-pimf.pdf
pscpp,normativa_general,Proveedores de servicios de créditos entre particulares a través de plataformas.,t-pscpp.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-pscpp.pdf
snp_psp,normativa_general,Proveedores de servicios de pago,t-snp-psp.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-snp-psp.pdf
