id,categoria,titulo_oficial,paginas,paginas_cuerpo,secciones,chunks_terminales,mini_chunks,unidades_extraccion,chars_propio_total,usd_e1,usd_e3,usd_total,veredicto
reqcac,normativa_general,Requisitos Operativos Mínimos de Tecnología y Sistemas de Información p/ Casas y Agencias de Cambio,10,8,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri2_ae,normativa_general,Normas mínimas sobre auditorías externas para casas y agencias de cambio.,44,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri2_cs,regimen_informativo,RI - Casas y Agencias de Cambio - Contable Anual,31,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri2_pm,regimen_informativo,RI - Casas y Agencias de Cambio - Plan y Manual de Cuentas,376,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_acsf,regimen_informativo,RI Cont. Mensual - Agencias complementarias de servicios financieros.,3,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_ao,regimen_informativo,RI Cont. Mensual - Anticipo de Operaciones.,1,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_bdp,regimen_informativo,RI Cont. Mensual - Base de Datos Padrón,3,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_ccna,regimen_informativo,RI para Cajas de Crédito - Normas de Auditoría,60,58,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_ccpnp,regimen_informativo,RI para Cajas de Crédito - Plan de Negocios y Proyecciones,11,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_chr,regimen_informativo,RI Cont. Mensual - Cheques Rechazados,1,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_con,regimen_informativo,RI Cont. Mensual - Estado de Consolidación de Entidades Locales con Filiales y Subsidiarias Significativas en el País y en el Exterior.,16,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_cr,regimen_informativo,RI Cont. Mensual - Reclamos,5,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_dcpc,regimen_informativo,RI - Disposiciones complementarias al plan de cuentas.,44,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_dsf,regimen_informativo,RI Cont. Mensual - Deudores del Sistema Financiero y Composición de los conjuntos económicos.,31,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_esd,regimen_informativo,RI Cont. Mensual - Estado de Situación de Deudores Consolidado con Filiales y Subsidiarias Significativas en el País y en el Exterior .,3,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_fcem,regimen_informativo,RI - Facturas de Crédito Electrónicas MiPyME.,1,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_icpipsp,regimen_informativo,RI - Informe de Contadores Públicos Independientes sobre el cumplimiento de las Normas del BCRA por parte de los Proveedores de Servicios de Pago.,13,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_ieccm,regimen_informativo,"RI - Informe Especial respecto del cumplimiento de Capitales Mínimos (Comunicación ""A"" 7584)",1,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_iepsp,regimen_informativo,"RI - Informe especial sobre el cumplimiento de las normas sobre ""Proveedores no financieros de crédito"".",9,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_iesinap,regimen_informativo,RI - Informe especial de cumplimiento requerido por el punto 1.5.5.10. de las normas sobre “Sistema Nacional de Pagos Transferencias Normas complementarias”,6,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_ii_31_12_19,regimen_informativo,RI Cont. Mensual - Información Institucional de Entidades Financieras y Cambiarias - Vigente a partir del 31.12.19,21,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_itme,regimen_informativo,RI Cont. Mensual - Información sobre tenencias en moneda extranjera de casas y agencias de cambio.,1,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_laft,regimen_informativo,"RI - Prevención del Lavado de Activos, del Financiamiento del Terrorismo y Otras Actividades Ilícitas.",45,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_mmsef,regimen_informativo,RI Cont. Mensual - Medidas mínimas de seguridad en entidades financieras,9,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_msrl,regimen_informativo,RI Cont. Mensual - Medición y Seguimiento del Riesgo de Liquidez,20,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_nge,regimen_informativo,RI Cont. Mensual - Normas generales,3,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_niif,regimen_informativo,RI - Estados financieros para publicación trimestral/anual.,86,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_oc,regimen_informativo,RI Cont. Mensual - Operaciones de Cambio,28,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_ot,regimen_informativo,RI Cont. Mensual - Operaciones a Término,6,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_pfmipyme,regimen_informativo,RI - Plataformas para el Financiamiento MiPyME.,1,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_pnp,regimen_informativo,RI - Plan de negocios y proyecciones.,44,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_pscpp,regimen_informativo,RI - Proveedores de servicios de créditos entre particulares a través de plataformas (RI-PSCPP),1,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_psp,regimen_informativo,RI - Proveedores de servicios de pago que ofrecen cuentas de pago.,14,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_pspapt,regimen_informativo,RI - Proveedores de Servicios de Pago - Adquirentes de pagos con tarjeta,5,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_pspii,regimen_informativo,RI - Proveedores de Servicios de Pago - Información Contable,1,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_psprca,regimen_informativo,RI - Proveedores de Servicios de Pago – Redes de Cajeros Automáticos,6,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_rcl,regimen_informativo,RI Cont. Mensual - Ratio de Cobertura de Liquidez,2,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
ri_rem,regimen_informativo,RI Cont. Mensual - Pago de Remuneraciones mediante Acreditación en Cuenta Bancaria.,2,0,0,0,0,0,0,0.0,0.0,0.0,necesita reglas
